日期(YYYYMMDD),時間(HHMMSS),緯度(度),經度(度),高度(M),衛星等級,衛星數,速度(Knots),方向,平均精度(PDOP)
20090812,182032,30.203306,120.216278,20.0,1,7,1.7,184.4,2.0
20090812,182033,30.203304,120.216278,20.0,1,8,1.0,182.9,1.3
20090812,182034,30.203300,120.216278,20.5,1,7,1.4,161.0,2.0
20090812,182035,30.203295,120.216278,20.5,1,8,1.5,154.6,1.3
20090812,182036,30.203293,120.216278,20.5,1,8,0.8,201.8,1.3
20090812,182037,30.203291,120.216278,21.0,1,8,0.5,245.8,1.3
20090812,182038,30.203289,120.216278,21.0,1,7,0.9,193.6,2.0
20090812,182039,30.203283,120.216278,21.0,1,7,1.6,186.5,2.0
20090812,182040,30.203283,120.216278,21.0,1,7,0.5,198.6,2.0
20090812,182041,30.203283,120.216278,21.0,1,7,0.1,264.3,2.0
20090812,182042,30.203283,120.216278,21.0,1,7,0.1,240.8,2.0
20090812,182043,30.203283,120.216278,21.0,1,7,0.2,229.5,2.0
20090812,182044,30.203283,120.216278,21.0,1,7,0.2,181.1,2.0
20090812,182045,30.203283,120.216278,21.0,1,7,0.3,211.0,2.0
20090812,182046,30.203283,120.216278,21.0,1,7,0.1,193.6,2.0
20090812,182047,30.203281,120.216278,21.0,1,8,0.2,204.0,1.3
20090812,182048,30.203281,120.216278,21.5,1,8,0.2,206.6,1.3
20090812,182049,30.203281,120.216278,21.5,1,8,0.2,180.7,1.3
20090812,182050,30.203279,120.216278,21.5,1,8,0.2,208.8,1.3
20090812,182051,30.203279,120.216278,21.5,1,7,0.3,188.7,2.0
20090812,182052,30.203279,120.216278,21.5,1,7,0.3,193.7,2.0
20090812,182053,30.203279,120.216278,21.5,1,6,0.3,201.8,2.1
20090812,182054,30.203279,120.216278,21.5,1,6,0.3,205.8,2.1
20090812,182055,30.203279,120.216278,21.5,1,6,0.2,194.4,2.1
20090812,182056,30.203279,120.216278,21.5,1,6,0.1,197.8,2.1
20090812,182057,30.203279,120.216278,21.5,1,6,0.3,208.4,2.1
20090812,182058,30.203279,120.216278,21.5,1,6,0.1,203.7,2.1
20090812,182059,30.203279,120.216278,21.5,1,6,0.3,201.2,2.1
20090812,182100,30.203279,120.216278,21.5,1,7,0.3,208.0,2.0
20090812,182101,30.203279,120.216278,21.5,1,7,0.3,192.8,2.0
20090812,182102,30.203279,120.216278,21.5,1,7,0.2,206.5,2.0
20090812,182103,30.203279,120.216278,21.5,1,7,0.4,196.0,2.0
20090812,182104,30.203279,120.216278,21.5,1,7,0.3,213.2,2.0
20090812,182105,30.203279,120.216278,21.5,1,7,0.3,201.7,2.0
20090812,182106,30.203279,120.216278,21.0,1,7,0.3,210.7,2.0
20090812,182107,30.203279,120.216278,21.0,1,7,0.3,220.9,2.0
20090812,182108,30.203279,120.216278,21.0,1,7,0.3,233.9,2.0
20090812,182109,30.203279,120.216278,21.0,1,7,0.4,206.3,2.0
20090812,182110,30.203279,120.216278,21.0,1,7,0.3,214.9,2.0
20090812,182111,30.203279,120.216278,21.0,1,7,0.3,216.6,2.0
20090812,182112,30.203279,120.216278,21.0,1,7,0.3,199.1,2.0
20090812,182113,30.203279,120.216278,21.0,1,7,0.3,251.4,2.0
20090812,182114,30.203279,120.216278,21.0,1,7,0.2,260.8,2.0
20090812,182115,30.203279,120.216278,21.0,1,7,0.1,306.8,2.0
20090812,182116,30.203279,120.216278,21.0,1,7,0.4,207.1,2.0
20090812,182117,30.203279,120.216278,21.0,1,7,0.3,233.1,2.0
20090812,182118,30.203279,120.216278,21.0,1,7,0.5,205.9,2.0
20090812,182119,30.203276,120.216278,21.5,1,8,1.5,193.2,1.3
20090812,182120,30.203268,120.216270,21.0,1,7,2.9,209.2,2.0
20090812,182121,30.203264,120.216263,21.0,1,7,2.4,228.0,2.0
20090812,182122,30.203264,120.216263,21.0,1,7,0.2,203.4,2.0
20090812,182123,30.203264,120.216263,21.0,1,6,0.1,219.7,2.7
20090812,182124,30.203264,120.216263,21.0,1,7,0.7,81.4,2.0
20090812,182125,30.203264,120.216263,21.0,1,7,0.6,63.2,2.0
20090812,182126,30.203264,120.216263,21.0,1,8,0.4,56.1,1.3
20090812,182127,30.203264,120.216263,21.0,1,8,0.2,99.5,1.3
20090812,182128,30.203264,120.216263,21.0,1,8,0.3,203.5,1.3
20090812,182129,30.203264,120.216263,21.0,1,8,0.1,133.5,1.3
20090812,182130,30.203264,120.216263,21.0,1,8,0.3,196.7,1.3
20090812,182131,30.203264,120.216263,21.0,1,8,0.3,206.8,1.3
20090812,182132,30.203264,120.216263,21.0,1,8,0.3,207.4,1.3
20090812,182133,30.203264,120.216263,21.0,1,8,0.1,34.5,1.3
20090812,182134,30.203272,120.216270,22.5,1,8,3.8,35.5,1.3
20090812,182135,30.203272,120.216270,22.5,1,8,0.2,215.5,1.3
20090812,182136,30.203272,120.216270,22.5,1,8,0.0,234.1,1.3
20090812,182137,30.203272,120.216270,22.5,1,7,0.3,213.8,2.0
20090812,182138,30.203272,120.216270,22.5,1,7,0.3,203.5,2.0
20090812,182139,30.203272,120.216270,22.5,1,7,0.3,207.1,2.0
20090812,182140,30.203272,120.216270,22.5,1,7,0.3,206.0,2.0
20090812,182141,30.203272,120.216270,22.5,1,7,0.3,214.1,2.0
20090812,182142,30.203272,120.216270,22.5,1,7,0.4,222.5,2.0
20090812,182143,30.203272,120.216270,22.5,1,7,0.3,222.4,2.0
20090812,182144,30.203272,120.216270,22.5,1,7,0.3,199.4,2.0
20090812,182145,30.203272,120.216270,22.5,1,7,0.3,213.0,2.0
20090812,182146,30.203270,120.216270,22.0,1,7,0.3,210.2,2.0
20090812,182147,30.203270,120.216270,22.0,1,7,0.2,208.0,2.0
20090812,182148,30.203270,120.216270,22.0,1,8,0.3,209.4,1.3
20090812,182149,30.203270,120.216270,22.0,1,7,0.3,215.7,2.0
20090812,182150,30.203270,120.216270,22.0,1,7,0.3,213.2,2.0
20090812,182151,30.203270,120.216270,22.0,1,7,0.3,214.1,2.0
20090812,182152,30.203270,120.216270,22.0,1,8,0.3,204.9,1.3
20090812,182153,30.203270,120.216270,22.0,1,8,0.1,195.5,1.3
20090812,182154,30.203270,120.216270,22.0,1,8,0.2,203.4,1.3
20090812,182155,30.203270,120.216270,22.0,1,8,0.2,213.1,1.3
20090812,182156,30.203270,120.216270,22.0,1,8,0.3,201.4,1.3
20090812,182157,30.203270,120.216270,22.0,1,7,0.3,212.8,2.0
20090812,182158,30.203270,120.216270,22.0,1,7,0.2,199.0,2.0
20090812,182159,30.203270,120.216270,22.0,1,7,0.2,184.4,2.0
20090812,182200,30.203270,120.216270,22.0,1,7,0.2,193.1,2.0
20090812,182201,30.203270,120.216270,22.0,1,7,0.3,217.0,2.0
20090812,182202,30.203270,120.216270,22.0,1,8,0.2,200.3,1.3
20090812,182203,30.203270,120.216270,22.0,1,8,0.2,191.8,1.3
20090812,182204,30.203270,120.216270,22.0,1,8,0.2,199.3,1.3
20090812,182205,30.203270,120.216270,22.0,1,8,0.3,215.2,1.3
20090812,182206,30.203270,120.216270,22.0,1,7,0.1,216.9,2.0
20090812,182207,30.203270,120.216270,22.0,1,8,0.2,178.5,1.3
20090812,182208,30.203270,120.216270,22.0,1,8,0.3,165.5,1.3
